fullname,address
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1430 имени Героя Социалистического Труда Г.В.Кисунько""","127572, г. Москва, ул.Новгородская, д.21А"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1101""","117133, г. Москва, ул.Академика Варги, д.34"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1637""","111401, г. Москва, ул. 3-я Владимирская, дом 12 А"
Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»,"109052, г. Москва, ул. Нижегородская, д. 64"
"Государственное бюджетное образовательное учреждение города Москвы лицей №1793 ""Жулебино""","109431, г. Москва, Жулебинский бульвар, дом 38"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 138""","123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2129"" имени Героя Советского Союза П.И.Романова","115432, г. Москва, 2-й Южнопортовый пр., д.11, стр.1"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1106""","117463, г. Москва, пр.Карамзина, д.13, корп.3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1274 имени В.В. Маяковского""","115088, г. Москва, ул. 1-я Дубровская, д. 16"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2025""","119361, г. Москва, ул. Б.Очаковская, д.42, корпус 2."
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1450 ""Олимп""","117556, г. Москва, ул. Фруктовая, д.9"
Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1206,"117593, г. Москва, Литовский бульвар дом 3, корпус 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1103 имени Героя Российской Федерации А.В.Соломатина""","117593, г. Москва, Литовский бульвар, дом 17, корпус 4"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 878""","115569, г. Москва, Шипиловский пр-д, д.37, корп.2"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1619 имени М.И. Цветаевой""","123458, г. Москва, ул. Таллинская, д. 20, корп. 4"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1981""","117042, г. Москва, ул. Бартеневская, д. 27"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 947""","115372, г. Москва, ул.Лебедянская, д.16"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1238""","119634, г. Москва, ул. Чоботовская, д.19"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина""","129128, г. Москва, ул. Ростокинская, д. 3"
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа №1173""","117519, г. Москва, ул.Чертановская, д.27"
