fullname,Сайт,Отчёт,Год отчёта,учащихся,Английский_егэ,,Французский_егэ,,Немецкий_егэ,,Русский_егэ,,География_егэ,,Обществознание_егэ,,Литература_егэ,,История_егэ,,Информатика_егэ,,Математика_егэ,,Химия_егэ,,Биология_егэ,,Физика_егэ,,address,lng,lat
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 627""",http://sch627.mskobr.ru,http://sch627.mskobr.ru/files/publichnyj_otchet_direktora_2014-2015gg_osnovnoj_variant.pdf,2015,2388,x,,,,,,,,,,,,,,,,,,,,,,,,,,"115054 г. Москва, ул. Дубининская, д. 42",37.635072,55.724489
Государственное бюджетное образовательное учреждение города Москвы гимназия № 1529 имени А.С. Грибоедова,http://gym1529c.mskobr.ru,http://gym1529c.mskobr.ru/files/pub_doklad2.pdf,2015,1239,88.6,,,,,,84.8,,,,72.6,,67,,63.5,,,,70.8,,75.5,,83.9,,,,"119034 г.Москва, 2-ой Обыденский пер, д.9",37.603505,55.741333
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1554""",http://gym1554.mskobr.ru,http://gym1554.mskobr.ru/files/%20%D0%B4%D0%BE%D0%BA%D0%BB%D0%B0%D0%B4%20%281%29.pdf,2014,1650,63.9,39,,,63,1,74.2,103,64.5,2,61.2,55,71.1,11,57.1,19,69.6,20,51.9,103,72.8,6,63.9,16,52.3,31,"127490, г. Москва, ул. Пестеля, д.5,9А",37.613485,55.864439
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Гимназия № 1576""",http://gym1576s.mskobr.ru,http://gym1576s.mskobr.ru/files/publ_doklad/PUBL_2015_utver.pdf,2015,1542,74,,,,,,74,,63,,59,,63,,53,,62,,55,,68,,65,,62,,"125299, г. Москва, ул. Большая Академическая, д.22-А",37.529367,55.822883
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением английского языка № 1359 имени авиаконструктора М.Л. Миля""",http://sch1359uv.mskobr.ru,http://sch1359uv.mskobr.ru/files/attach_files/1359yuvao1359.pdf,2015,785,82,38,,,,,82,43,,,70,32,63,5,61,14,,,53,35,65,5,72,6,54,4,"109145, г. Москва, Пронская ул., д. 4, кор. 1",37.84534,55.701501
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Лицей № 1571""",http://lyc1571sz.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={CC11EB0B-6EAF-4F65-94AE-E90106958938}&name=%D0%A1amoobsledovanie-%D0%93%D0%91%D0%9E%D0%A3-%D0%9Bicey-3-1571.pdf,2015,1739,71,,,,,,72,,53,,61,,65,,57,,62,,51,,65,,65,,59,,"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1",37.446883,55.857457
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа с углубленным изучением отдельных предметов № 1363""",http://sch1363uv.mskobr.ru,http://sch1363uv.mskobr.ru/files/documents/2015-2016/%D0%A1%D0%90%D0%9C%D0%9E%D0%9E%D0%91%D0%A1%D0%9B%D0%95%D0%94%D0%9E%D0%92%D0%90%D0%9D%D0%98%D0%95.pdf,2015,3491,,,,,,,74,,,,,,,,,,,,55,,,,,,,,"109542, г.Москва, Рязанский проспект, д. 82, корп. 4",37.823745,55.707588
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 1357 ""Многопрофильный комплекс ""Братиславский""",http://sch1357uv.mskobr.ru,http://sch1357uv.mskobr.ru/files/%20%D0%94%D0%9E%D0%9A%D0%9B%D0%90%D0%94%20%D0%94%D0%98%D0%A0%D0%95%D0%9A%D0%A2%D0%9E%D0%A0%D0%90%20%D0%93%D0%91%D0%9E%D0%A3%20%D0%A1%D0%9E%D0%A8%20%E2%84%961357%281%29.docx,2015,1650,70,,,,,,77,,69,,58,,51,,,57,59,,54,,81,,71,,63,,"109451, г. Москва, Перервинский бульвар, дом 10, к. 2",37.763477,55.659805
Государственное бюджетное образовательное учреждение города Москвы лицей № 1547,http://licuv1547.mskobr.ru,http://licuv1547.mskobr.ru/files/files/public_2014.pdf,2014,936,62.8,31,,,,,74.1,106,44,1,63.4,36,51,2,59.9,7,64.4,17,63.6,106,59.4,7,67.2,5,57.8,61,"109469, г. Москва, ул. Белореченская, д. 47, корп. 1",37.777104,55.661928
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 117""",couz117.mskobr.ru,http://sch117.mskobr.ru/files/UploadFiles/otchet_2013.pdf,2013,1080,x,,,,,,,,,,,,,,,,,,,,,,,,,,"117393, г. Москва, ул. Академика Пилюгина, дом 18, корпус 1",37.534101,55.669194
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2109""",http://sch2109.mskobr.ru,http://sch2109.mskobr.ru/files/docs/public_report_14-15.pdf,2015,5309,76.5,18,46,2,,,71,141,62,6,58,71,61,16,45,22,65,27,48,93,52,12,52,18,59.5,30,"117148 Москва, улица Маршала Савицкого д.6 к.4",37.578496,55.503058
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Школа № 2097""",http://sch2097sz.mskobr.ru,http://st.educom.ru//eduoffices/gateways/get_file.php?id={8709E55F-4DDA-41B7-92CF-491F30B1B37E}&name=%D0%A1amoobsledovanie-%D0%93%D0%91%D0%9E%D0%A3-%D0%A8kola-%E2%84%96-2097.pdf,2014,3009,61,36,,,,,69,158,76,3,59,111,57,7,48,23,60,19,49,158,71,16,58,21,55,23,"125363 Москва, Аэродромная улица д.9",37.430139,55.84674
"Государственное бюджетное общеобразовательное учреждение города Москвы ""Государственная столичная гимназия""",http://gsg.mskobr.ru,http://gsg.mskobr.ru/files/Publ_doklad_2015%281%29.pdf,2015,4088,79,38,,,80,7,72,145,65,6,58,86,71,10,53,26,63,22,52.2,108,68,13,61,16,61,36,"127543 Москва, Белозерская улица д.12",37.616207,55.895615
