id,result,year,school_id,subject_id
61811,51.5,2015,9574,8
61812,67.25,2015,9574,9
61813,55,2015,9574,6
61814,61.58,2015,9575,2
61815,39,2015,9575,1
61816,45.75,2015,9575,8
61817,37.86,2015,9575,4
61818,40.75,2015,9575,9
61819,65.53,2015,9576,2
61820,32.83,2015,9576,1
61821,50.76,2015,9576,8
61822,43.4,2015,9576,7
61823,46.85,2015,9576,9
61824,38.5,2015,9576,4
61825,67.93,2015,9577,2
61826,41,2015,9577,1
61827,50.76,2015,9577,8
61828,50.5,2015,9577,7
61829,48,2015,9577,9
61830,49.63,2015,9577,4
61831,74.98,2015,9578,2
61832,56.09,2015,9578,1
61833,61.93,2015,9578,8
61834,64.25,2015,9578,5
61835,63.6,2015,9578,7
61836,72.46,2015,9578,6
61837,61.8,2015,9578,11
61838,67.15,2015,9578,9
61839,59.13,2015,9578,4
61840,71.84,2015,9579,2
61841,39.23,2015,9579,1
61842,55.21,2015,9579,8
61843,54.82,2015,9579,7
61844,55.6,2015,9579,6
61845,50.75,2015,9579,11
61846,51.93,2015,9579,9
61847,65.17,2015,9579,4
61848,69.41,2015,9580,2
61849,46.64,2015,9580,1
61850,53.04,2015,9580,8
61851,54.5,2015,9580,5
61852,48.67,2015,9580,7
61853,52.17,2015,9580,4
61854,73.2,2015,9581,2
61855,48.3,2015,9581,1
61856,51.82,2015,9581,8
61857,54.33,2015,9581,7
61858,50.25,2015,9581,9
61859,69.2,2015,9581,11
61860,38.8,2015,9581,4
61861,73.48,2015,9582,2
61862,49.34,2015,9582,1
61863,60.85,2015,9582,8
61864,62.59,2015,9582,7
61865,57.5,2015,9582,9
61866,53.25,2015,9582,11
61867,57.2,2015,9582,3
61868,61.38,2015,9582,4
61869,54.73,2015,9583,2
61870,42.75,2015,9583,1
61871,43.56,2015,9583,8
61872,63.4,2015,9584,2
61873,42.52,2015,9584,1
61874,52.29,2015,9584,8
61875,48.35,2015,9584,7
61876,54,2015,9584,6
61877,59.73,2015,9584,11
61878,73,2015,9584,3
61879,48,2015,9584,9
61880,41.55,2015,9584,4
61881,75.52,2015,9585,2
61882,47.24,2015,9585,1
61883,52.89,2015,9585,8
61884,45.57,2015,9585,4
61885,63.75,2015,9585,7
61886,77.64,2015,9587,2
61887,58.17,2015,9587,1
61888,60.49,2015,9587,8
61889,62.75,2015,9587,5
61890,58.37,2015,9587,7
61891,65.9,2015,9587,6
61892,73.56,2015,9587,11
61893,61.5,2015,9587,3
61894,70.24,2015,9587,9
61895,58.33,2015,9587,4
61896,67.59,2015,9588,2
61897,47.03,2015,9588,1
61898,46.77,2015,9588,8
61899,48.5,2015,9588,7
61900,40.9,2015,9588,9
61901,34.71,2015,9588,11
61902,49.5,2015,9588,3
61903,42.63,2015,9588,4
61904,74.24,2015,9589,2
61905,49.47,2015,9589,1
61906,54.94,2015,9589,8
61907,58,2015,9589,5
61908,66.5,2015,9589,7
61909,56,2015,9589,9
61910,46,2015,9589,4
61911,64.64,2015,9590,2
61912,26.56,2015,9590,1
61913,57.13,2015,9590,8
61914,67.55,2015,9591,2
61915,34.21,2015,9591,1
61916,57.69,2015,9591,8
61917,51.17,2015,9591,7
61918,67.71,2015,9591,9
61919,64.75,2015,9592,2
61920,40.75,2015,9592,1
61921,51.4,2015,9592,8
61922,77.37,2015,9593,2
61923,51.44,2015,9593,1
61924,59.72,2015,9593,8
61925,61.58,2015,9593,5
61926,61.91,2015,9593,7
