LegalAddress,FullName,ShortName
"117648, г. Москва, микрорайон Северное Чертаново корп. 809",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1158»,ГБОУ лицей № 1158
"129344, г. Москва, ул.Радужная, д.7",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 281»,ГБОУ школа № 281
"129347, г. Москва, Ярославское ш., д.147",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 760 имени А.П. Маресьева»,ГБОУ «Школа № 760 им. А.П. Маресьева»
"115682, г. Москва, Задонский пр., д.34, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2116 «Зябликово»,ГБОУ школа № 2116
"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1519»,ГБОУ гимназия № 1519
"105425, г. Москва, ул. 5-я Парковая, д.49",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 399»,ГБОУ школа № 399
"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 138»,ГБОУ лицей № 138
"125080, г. Москва, ул. Дубосековская, д. 3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением испанского языка № 1252 имени Сервантеса»,ГБОУ школа № 1252 имени Сервантеса
"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1542»,ГБОУ гимназия № 1542
"199633, г. Москва, ул.Новопеределкинская, д.9, корп.1",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1015»,ГБОУ школа № 1015
"124575, г. Москва, Зеленоград, корп. 1016",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1692»,ГБОУ школа № 1692
"117198, г. Москва, ул.Саморы Машела, д.6, корп.3",Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1995»,ГБОУ школа № 1995
"125310, г. Москва, Пятницкое шоссе, д. 45, корп. 2",Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1358»,ГБОУ гимназия № 1358
